tconst;averageRating;numVotes;Title;startYear;runtimeMinutes;genres;director
tt0120696;5.9;36696;Hard Rain;1998;97;Action,Crime,Drama;Mikael Salomon
tt0089254;4.5;1671;Hard Rock Zombies;1984;98;Comedy,Horror,Music;Krishna Shah
tt0107076;6.2;54532;Hard Target;1993;97;Action,Crime,Thriller;John Woo
tt0093146;5;5000;Hard Ticket to Hawaii;1987;96;Action,Comedy,Crime;Andy Sidaris
tt0073092;7.2;11627;Hard Times;1975;93;Crime,Drama,Sport;Walter Hill
tt1292652;5.9;2819;Hard Times;2009;94;Comedy,Crime;Tom Reeve
tt0097292;6.5;1198;Hard to Be a God;1989;119;Adventure,Drama,Sci-Fi;Peter Fleischmann
tt2328813;6.6;6163;Hard to Be a God;2013;177;Drama,Sci-Fi;Aleksey German
tt0103111;4.8;1399;Hard to Die;1990;77;Action,Comedy,Fantasy;Jim Wynorski
tt0099739;5.8;31610;Hard to Kill;1990;96;Action,Crime,Drama;Bruce Malmuth
tt0180734;6.4;32835;Hardball;2001;106;Comedy,Drama,Sport;Brian Robbins
tt0087385;4.9;3889;Hardbodies;1984;88;Comedy;Mark Griffiths
tt0091173;3.3;1341;Hardbodies 2;1986;88;Comedy;Mark Griffiths
tt0122648;7.3;3807;Hardboiled Egg;1997;100;Comedy,Drama;Paolo Virz?
tt0079271;7;12643;Hardcore;1979;108;Crime,Drama;Paul Schrader
tt0396630;6.1;2287;Hardcore;2004;96;Crime,Drama,Romance;Dennis Iliadis
tt3072482;6.7;99826;Hardcore Henry;2015;96;Action,Adventure,Sci-Fi;Ilya Naishuller
tt0099740;5.9;16088;Hardware;1990;94;Sci-Fi,Thriller;Richard Stanley
tt1405412;4.7;4429;Hardwired;2009;94;Action,Sci-Fi;Ernie Barbarash
tt6842524;7.8;1542;Hare Krishna! The Mantra, the Movement and the Swami Who Started It;2017;90;Documentary;
tt10446930;4.5;1240;Hareket Sekiz;2019;110;Action,Comedy;Ali Yorgancioglu
tt0179841;6.1;3026;Harem Suare;1999;125;Drama,History;Ferzan Özpetek
tt0246674;6.8;1228;Harikrishnans;1998;150;Comedy,Crime,Mystery;Fazil
tt1524539;8.4;2641;Harishchandrachi Factory;2009;96;Biography,Comedy,Drama;Paresh Mokashi
tt0074605;8.2;6381;Harlan County U.S.A.;1976;103;Documentary;Barbara Kopple
tt0097481;6.1;24072;Harlem Nights;1989;116;Comedy,Crime,Drama;Eddie Murphy
tt0080842;6.1;1631;Harlequin;1980;95;Drama,Fantasy,Horror;Simon Wincer
tt0102005;6.1;21669;Harley Davidson and the Marlboro Man;1991;98;Action,Crime,Drama;Simon Wincer
tt2668134;6.4;12692;Harlock: Space Pirate;2013;115;Adventure,Animation,Sci-Fi;Shinji Aramaki
tt0059252;5.5;1019;Harlow;1965;125;Biography,Drama,Romance;Gordon Douglas
tt5182856;6.9;2831;Harmonium;2016;120;Drama;Kôji Fukada
tt3518988;7.2;2487;Harmontown;2014;101;Documentary;Neil Berkeley
tt5583554;5.6;1426;Harmony;2018;90;Fantasy,Romance,Thriller;Corey Pearson
tt1041753;5.4;1964;Harold;2008;90;Comedy;T. Sean Shannon
tt0481536;6.5;140352;Harold & Kumar Escape from Guantanamo Bay;2008;114;Adventure,Comedy;
tt0366551;7;202632;Harold & Kumar Go to White Castle;2004;88;Adventure,Comedy;Danny Leiner
tt0067185;7.9;80325;Harold and Maude;1971;91;Comedy,Drama,Romance;Hal Ashby
tt0060490;6.8;10482;Harper;1966;121;Crime,Drama,Mystery;Jack Smight
tt0077660;5.8;1224;Harper Valley P.T.A.;1978;93;Comedy;
tt7831358;6;5986;Harpoon;2019;83;Comedy,Horror,Thriller;Rob Grant
tt4648786;6.7;29410;Harriet;2019;125;Action,Biography,Drama;Kasi Lemmons
tt0042544;7.3;2225;Harriet Craig;1950;94;Drama;Vincent Sherman
tt0116493;5.9;10805;Harriet the Spy;1996;100;Comedy,Drama,Family;Bronwen Hughes
tt0216799;7;6615;Harrison's Flowers;2000;130;Drama,Romance,War;Élie Chouraqui
tt0087386;5.8;2310;Harry & Son;1984;120;Drama;Paul Newman
tt0390080;5.5;1091;Harry + Max;2004;74;Drama,Romance;Christopher Munch
tt0093148;6.1;37499;Harry and the Hendersons;1987;110;Comedy,Family,Fantasy;William Dear
tt0071598;7.4;6036;Harry and Tonto;1974;115;Adventure,Comedy,Drama;Paul Mazursky
tt0074608;5.4;1140;Harry and Walter Go to New York;1976;115;Comedy,Crime;Mark Rydell
tt1289406;7.2;90055;Harry Brown;2009;103;Action,Crime,Drama;Daniel Barber
tt2372776;7.4;1276;Harry Dean Stanton: Partly Fiction;2012;77;Biography,Documentary;Sophie Huber
tt0070158;6.4;1471;Harry in Your Pocket;1973;103;Comedy,Crime,Drama;Bruce Geller
tt0926084;7.7;577988;Harry Potter and the Deathly Hallows: Part 1;2010;146;Adventure,Family,Fantasy;David Yates
tt1201607;8.1;917087;Harry Potter and the Deathly Hallows: Part 2;2011;130;Adventure,Family,Fantasy;David Yates
tt0330373;7.7;657781;Harry Potter and the Goblet of Fire;2005;157;Adventure,Family,Fantasy;Mike Newell
tt0417741;7.6;574282;Harry Potter and the Half-Blood Prince;2009;153;Action,Adventure,Family;David Yates
tt0295297;7.4;667904;Harry Potter and the Chamber of Secrets;2002;161;Adventure,Family,Fantasy;Chris Columbus
tt0373889;7.5;611421;Harry Potter and the Order of the Phoenix;2007;138;Action,Adventure,Family;David Yates
